"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"222477_s_at","TM7SF3",-0.288053180072724,10.817480083412,-5.38324801503921,1.39629309901942e-07,0.00762753031201339,6.81518806525424
"1552344_s_at","CNOT7",-0.328694454785255,8.24525763015772,-5.17178811768771,4.04271037513785e-07,0.00871652983061534,5.88467944233509
"225582_at","ITPRIP",0.307262205190764,8.78878375611672,5.13755145748389,4.78693493910448e-07,0.00871652983061534,5.73694278609734
"214665_s_at","CHP1",0.184635153907674,11.8692365624325,4.8772939772235,1.67989928805128e-06,0.0208653498074369,4.64094662488876
"225290_at","ETNK1",-0.271287850428479,11.0643055829187,-4.81241153382611,2.27876873622115e-06,0.0208653498074369,4.37525050543658
"226432_at","ETNK1",-0.273232801942656,9.95918586582479,-4.77568368101885,2.70415029173165e-06,0.0208653498074369,4.22619761458108
"207793_s_at","EPB41",-0.504440370219821,5.68835672387855,-4.76525005899358,2.83833580411766e-06,0.0208653498074369,4.18403329629512
"222687_s_at","ACER3",0.384936659157836,8.78105104446124,4.69649289218133,3.89718470398938e-06,0.0208653498074369,3.90815474473853
"224725_at","MIB1",-0.257344069561452,10.107506845122,-4.6905764815063,4.00427554724264e-06,0.0208653498074369,3.88457727675946
"228575_at","IL20RB",0.451216126975375,6.46990935707556,4.64574647440425,4.91297443045543e-06,0.0208653498074369,3.70675908955878
"1554470_s_at","ZBTB44",-0.272900615037406,8.56722682249019,-4.64493103919926,4.93121323751819e-06,0.0208653498074369,3.70353832893968
"37577_at","ARHGAP19",-0.259547144302157,8.33632948687995,-4.6382199317208,5.08381465434398e-06,0.0208653498074369,3.67704974091494
"224880_at","RALA",0.175233533082872,11.8070518449493,4.62116947795605,5.49222581134837e-06,0.0208653498074369,3.60990105783978
"203248_at","ZNF24",-0.298096654811873,9.13850524258202,-4.59880479053619,6.07598045344849e-06,0.0208653498074369,3.5221484786948
"219495_s_at","ZNF180",-0.245840172518333,8.42069411589706,-4.5980343225723,6.09711785225207e-06,0.0208653498074369,3.51913196065099
"226382_at","CAMK1D",0.348924391333478,8.62331696184154,4.59751641416138,6.11136611783532e-06,0.0208653498074369,3.51710450416825
"212738_at","ARHGAP19",-0.252552471011697,8.69323742160685,-4.5395278135764,7.92612571903245e-06,0.0247510832443571,3.29135128172126
"207229_at","KLRA1P",-0.354925923640566,6.74152432348314,-4.52327418981309,8.52129392562905e-06,0.0247510832443571,3.22852223167619
"225169_at","INTS4",0.326149748139398,9.472854253803,4.52097801973438,8.60875723804684e-06,0.0247510832443571,3.21966211759689
"213610_s_at","KLHL23",-0.403123629848038,9.43401652570333,-4.48460805617911,1.01145251920375e-05,0.0276263083832715,3.07984656847935
"212797_at","SORT1",-0.524132026500418,7.31998682141351,-4.44293494008912,1.21506311710914e-05,0.0302041613031045,2.92085762911085
"202056_at","KPNA1",0.173253659840947,9.89379579300284,4.44268114191918,1.21641596402566e-05,0.0302041613031045,2.91989333151043
"204107_at","NFYA",-0.305980378206819,8.49108533539206,-4.41371222853181,1.38069445777235e-05,0.0316510030059186,2.81014413437927
"209710_at","GATA2",0.414986503460371,8.55169926922793,4.40305147970664,1.44634095433131e-05,0.0316510030059186,2.76991421055912
"229356_x_at","INO80",0.11344924173039,10.0914702859011,4.40270792303593,1.44850545544871e-05,0.0316510030059186,2.76861916825479
"200072_s_at","HNRNPM",-0.158618363324278,12.1711761267224,-4.3752056718153,1.63221469488761e-05,0.0342934585144714,2.66523695986209
"200892_s_at","TRA2B",-0.172762675860104,11.4223743272608,-4.33604504239324,1.93270168345738e-05,0.0345524283379703,2.51901391359369
"227001_at","NIPAL2",0.385705147419285,10.4765470584626,4.33499578050348,1.94143939182686e-05,0.0345524283379703,2.51511196989854
"1554588_a_at","IFT70B",-0.31193942956355,8.23456273601465,-4.33377663741654,1.95163925149216e-05,0.0345524283379703,2.51057932554211
"222688_at","ACER3",0.359921452691552,9.79894283075342,4.28724910101831,2.38157264462532e-05,0.0345524283379703,2.3384356888334
"201727_s_at","ELAVL1",-0.234993260244005,9.14654290563492,-4.27557457696686,2.50288508461611e-05,0.0345524283379703,2.29549962429842
"224361_s_at","IL17RB",-0.541681014600305,8.77681763031298,-4.27152881748922,2.54628656415525e-05,0.0345524283379703,2.28064445843662
"244462_at","ZNF224",-0.259489694382451,8.69604373300021,-4.25629488696541,2.71625154866794e-05,0.0345524283379703,2.22482036048532
"218808_at","DALRD3",0.217622193443371,7.4108993136749,4.25605143558017,2.71905377092347e-05,0.0345524283379703,2.22392967622994
"227776_at","ACER3",0.316869327553736,9.94430437537457,4.25013018856808,2.78806620694069e-05,0.0345524283379703,2.20228026353236
"243358_at","IGF1R",-0.806937278510081,7.11536876241206,-4.24326924797473,2.87012321993472e-05,0.0345524283379703,2.17722850680082
"225251_at","RAB24",0.212613236998488,10.2732206294919,4.24038878301171,2.90525663265401e-05,0.0345524283379703,2.16672158265592
"209856_x_at","ABI2",-0.199824752584236,8.741987885371,-4.23576633195731,2.96249702914806e-05,0.0345524283379703,2.14987372017569
"211793_s_at","ABI2",-0.214675143188874,9.56201850822896,-4.23484415259882,2.97404461153949e-05,0.0345524283379703,2.14651451898285
"1558437_at","IGHE",0.726499856205343,3.80146303071752,4.22783144084813,3.06327493698653e-05,0.0345524283379703,2.12099069289013
"216695_s_at","TNKS",-0.384623093789039,6.77160415388933,-4.2209909949801,3.15277181874112e-05,0.0345524283379703,2.09612999814592
"1555832_s_at","KLF6",0.258214678495014,12.2679760420555,4.22002624212635,3.16559321074773e-05,0.0345524283379703,2.09262660493092
"201450_s_at","TIA1",-0.20486071965108,11.2790279443363,-4.21892988905504,3.18022395893878e-05,0.0345524283379703,2.08864618254899
"236561_at","TGFBR1",0.343044613680469,9.7911030324721,4.21713081501795,3.20437241263131e-05,0.0345524283379703,2.08211644792105
"239355_at","GMCL1",-0.154645838074661,10.0373530424984,-4.21243432662212,3.26823953998088e-05,0.0345524283379703,2.06508220234348
"222689_at","ACER3",0.331196769255786,9.18040938161774,4.21240856971457,3.26859313255064e-05,0.0345524283379703,2.06498882803523
"231921_at","DCAF17",-0.207340313349153,8.93022230685527,-4.21092068536964,3.2890809921366e-05,0.0345524283379703,2.05959578865458
"205440_s_at","NPY1R",-1.39894211458204,9.50174383893147,-4.19362992615999,3.53633826405808e-05,0.0358020942885458,1.99704715398217
"226959_at","CAMK1D",0.312115838399878,9.08336728701844,4.19344228547291,3.53911635561439e-05,0.0358020942885458,1.99636962516702
"206482_at","PTK6",0.678618145781554,8.51851706118718,4.18249633000542,3.70482758426367e-05,0.0359828417808013,1.95689284375338
"229763_at","FOXP4",-0.41943467836955,7.29574150396645,-4.17949311697607,3.7515713282107e-05,0.0359828417808013,1.9460777387757
"200776_s_at","BZW1",-0.240311637131148,11.7819029256418,-4.17930015515414,3.75459384829054e-05,0.0359828417808013,1.9453830850611
"240557_at","TSC22D2",0.30600616726164,7.93475974468438,4.17164341056164,3.87641967212605e-05,0.0365098581774534,1.91784217808936
"207268_x_at","ABI2",-0.184266309847754,9.37828699587946,-4.16646128601659,3.96100087439733e-05,0.0365864478908372,1.89922784370758
"232661_s_at","RBM48",-0.254438882347586,7.72902977497801,-4.1629982294414,4.018501608088e-05,0.0365864478908372,1.8867999263307
"218458_at","GMCL2",-0.180800435611193,9.86357007157666,-4.14752748880212,4.28523768457688e-05,0.0378579495137615,1.83139224244369
"206560_s_at","MIA",-0.794300888269142,7.66440617711568,-4.14653596994559,4.30289600056569e-05,0.0378579495137615,1.82784743236966
"204853_at","ORC2",-0.139347439563052,9.34470060408546,-4.14302043392137,4.36606590031847e-05,0.0378579495137615,1.81528501461266
"235484_at","PTAR1",-0.20184791377938,8.86209858960406,-4.13015104942566,4.60493519558343e-05,0.0389245052966028,1.76937857048069
"238915_at","SMIM10L1",-0.609984896906367,5.64049213316126,-4.1287552062258,4.63157933673674e-05,0.0389245052966028,1.76440710585218
"218884_s_at","GUF1",-0.246806881627339,8.30055359987799,-4.11271362115427,4.94851734528307e-05,0.0409579783364816,1.70738067672698
"1565823_at","SEPTIN7",0.279162362135672,7.07951193882204,4.10725794265349,5.06093616306903e-05,0.0411548106911363,1.68803136842077
"1555457_at","BRINP1",-0.613990331714311,3.42853325985837,-4.102124814526,5.16892552723989e-05,0.0411548106911363,1.66984696906296
"225297_at","HAUS1",-0.26453111883044,10.4669205011596,-4.09855040119354,5.24541490016843e-05,0.0411548106911363,1.6571964012738
"234552_at","EPPK1",0.888549345538872,6.31698664298247,4.08700792650052,5.49983911721049e-05,0.0419568263135704,1.6164125463308
"202662_s_at","ITPR2",-0.399238852491491,9.29102263405513,-4.08402364996456,5.56750612053046e-05,0.0419568263135704,1.60588471310396
"210892_s_at","GTF2I",-0.252835150387869,8.76485754822962,-4.08204753434337,5.61274877859662e-05,0.0419568263135704,1.59891722049214
"213248_at","LOC730101",-0.314508299241234,8.4438164236529,-4.07898116827193,5.6836457195237e-05,0.0419568263135704,1.58811163473101
"214150_x_at","ATP6V0E1",0.154282808203069,13.2730753160197,4.07198911927889,5.84850796263183e-05,0.0425981925966252,1.56349947171491
"208641_s_at","RAC1",0.12941741353179,12.904019245695,4.05384279373128,6.29786036950403e-05,0.0448812406209871,1.49980031733387
"209139_s_at","PRKRA",-0.153382322180539,10.8032931889661,-4.05273703464685,6.32627734969156e-05,0.0448812406209871,1.49592699803147
"227331_at","ZNF740",-0.197010834869563,8.7367958794288,-4.03403380433668,6.82580370039333e-05,0.0467134236242157,1.43055563767421
"211514_at","DSTYK",-0.391207318645558,5.85584688878038,-4.03345727016658,6.84178211912096e-05,0.0467134236242157,1.42854484643887
"208961_s_at","KLF6",0.279151644856499,11.6469140917455,4.03112387128497,6.90681521515021e-05,0.0467134236242157,1.42040923025997
"218196_at","OSTM1",0.215620623422442,9.85204562879207,4.03028097479506,6.93045132037409e-05,0.0467134236242157,1.41747142962113
"212065_s_at","USP34",-0.189978440473318,9.34821764546255,-4.02739008585699,7.01210159295896e-05,0.0467134236242157,1.40739981565015
"217301_x_at","RBBP4",-0.217070939261605,10.9394993079994,-3.99104903492881,8.11970211620598e-05,0.0531464605534097,1.28134398794106
"205999_x_at","CYP3A4",0.563476809236189,4.83846081960596,3.98944173209012,8.17233728099001e-05,0.0531464605534097,1.27579245145541
"237506_at","TMEM177",-0.479367393664856,6.24370093244142,-3.98254007280587,8.40205390130587e-05,0.0533696509844926,1.25197734014644
"208047_s_at","NAB1",-0.287572303320565,7.83272437574717,-3.97716411513657,8.58522197693605e-05,0.0536982130385127,1.2334525537603
"200778_s_at","SEPTIN2",-0.185495940269359,12.1038033407222,-3.97168077420572,8.77594962466119e-05,0.0536982130385127,1.21458092206982
"235198_at","OSTM1",0.218315452733496,9.04654364866605,3.97072888916556,8.80946611927768e-05,0.0536982130385127,1.21130727133991
"235197_s_at","OSTM1",0.228056904069635,7.82500089417903,3.96966757479119,8.84697891787238e-05,0.0536982130385127,1.20765811181573
"206661_at","DBF4B",-0.296594708180868,7.32565643886737,-3.96478649944437,9.02146382861829e-05,0.0541555499523001,1.19088661600313
"202059_s_at","KPNA1",0.225919798177046,9.8209573934288,3.96011237682993,9.1916076807023e-05,0.0545771687797526,1.17484361968971
"226639_at","SFT2D3",-0.16937691189819,9.50926902613372,-3.95401037676842,9.41831325630983e-05,0.0553219568013373,1.15392535355551
"1552812_a_at","SENP1",-0.294388015309682,6.94240330560384,-3.94636174174275,9.70997645137625e-05,0.056428391873333,1.12774609093948
"222157_s_at","WDR48",-0.176511346610036,8.91472723281487,-3.93540876606895,0.000101425959375701,0.0577208702241148,1.09033646195592
"231851_at","RAVER2",-0.401844255705279,8.02373252418372,-3.93538117846752,0.000101437083155125,0.0577208702241148,1.09024235544728
"213203_at","SNAPC5",0.142608739081805,10.3303809947524,3.93124209633152,0.000103119200454988,0.0580731192088108,1.07612990324157
"1554747_a_at","SEPTIN2",-0.217726862037361,10.6464673627782,-3.92312281421003,0.000106495984906071,0.0589453277773187,1.04848561033614
"211930_at","HNRNPA3",-0.208859684520856,11.6324342615743,-3.91443743983503,0.000110224122202766,0.0597331957015157,1.01897096932055
"33736_at","STOML1",0.174665213883324,8.49558408223052,3.91360785494326,0.000110586615725465,0.0597331957015157,1.0161549614148
"220324_at","LINC00472",-0.785605696450823,5.90305909703295,-3.91145107343906,0.000111534332135292,0.0597331957015157,1.00883633365471
"238952_x_at","ZNF829",-0.268546697388688,7.55797764544208,-3.89492112458662,0.000119057582412048,0.0608016584145818,0.952866021815995
"238739_at","IPMK",0.280933114590709,7.38945305449073,3.89296843152057,0.000119977403599668,0.0608016584145818,0.946268350831332
"200594_x_at","HNRNPU",-0.102566241729461,13.3300183034081,-3.88826987009681,0.000122218334543142,0.0608016584145818,0.930405312309168
"235179_at","ZNF641",-0.315885452044936,6.63148808335569,-3.88501411490168,0.000123794322321673,0.0608016584145818,0.919423553530759
"213763_at","HIPK2",-0.293096086659633,7.64599859623284,-3.8832430181792,0.000124659705684609,0.0608016584145818,0.913453082899989
"228304_at","RBM43",-0.265703737793116,8.13754617465279,-3.87916300308814,0.000126675108948084,0.0612378865177611,0.899708476688634
"228937_at","LACC1",0.246907843615814,9.23973947009096,3.86695610579692,0.000132890774331137,0.0636791607840966,0.858664339974125
"226177_at","GLTP",0.176345531189028,10.9409710547869,3.86070034393776,0.000136186980543979,0.0645847476851965,0.837675485624717
"227480_at","SUSD2",0.508766616370638,9.45658248871191,3.85425422906637,0.000139664338011546,0.0645847476851965,0.816080141484086
"201456_s_at","BUB3",-0.246773342070931,10.7242976994409,-3.85286019756598,0.000140427318019463,0.0645847476851965,0.811414245615843
"222541_at","RSF1",0.272299400919893,8.88596492261949,3.85279054101487,0.000140465545643946,0.0645847476851965,0.811181141598591
"235299_at","SLC41A2",0.287211556484305,8.58500445290017,3.85227565596426,0.000140748420905472,0.0645847476851965,0.809458209151479
"204196_x_at","PKNOX1",-0.375125077500629,6.09847190967585,-3.85023592847,0.000141874342764999,0.0645847476851965,0.802634826153173
"212108_at","FAF2",0.169912980515349,11.0232775843832,3.84701637510197,0.000143668880848262,0.064861156645438,0.791871297527448
"235101_at","FNBP4",-0.229203586408752,7.37542135994574,-3.84441112759771,0.000145136709536046,0.0649867461625047,0.78316746869675
"221735_at","WDR48",-0.195905809274176,9.80591974063083,-3.84056414512796,0.000147330109729119,0.0651553145236318,0.770324912178102
"211961_s_at","RAB7A",0.13024031991195,11.8845399690659,3.83528246848619,0.000150392633531114,0.0651553145236318,0.752711823307253
"213560_at","GADD45B",0.462859077228226,6.82826320713227,3.83170630148211,0.000152500313213297,0.0651553145236318,0.740798657395166
"202442_at","AP3S1",0.193359689785629,12.4924037770373,3.82937329185361,0.000153890337586164,0.0651553145236318,0.733032208360407
"1557986_s_at","SMCR8",-0.250734997215408,6.99414807567355,-3.8272249411073,0.000155180928945583,0.0651553145236318,0.725884269180226
"212577_at","SMCHD1",-0.249999527403631,9.92154123514038,-3.82705253492287,0.0001552849419101,0.0651553145236318,0.725310801201818
"1554726_at","ZNF655",-0.370188545793405,7.68708042303248,-3.8256449486682,0.000156136610716506,0.0651553145236318,0.720629677882788
"226747_at","TXNDC16",-0.299540805927624,9.87609954570415,-3.82546178922224,0.000156247756651395,0.0651553145236318,0.720020670514568
"210403_s_at","KCNJ1",0.645813528055976,3.29879805562478,3.81744410803929,0.00016118706224391,0.0667058003727126,0.693387691194569
"242847_at","EMSY",0.238655126235169,8.09091953460188,3.81496272260523,0.00016274539155154,0.0668443045435035,0.685155340567189
"1553946_at","DCD",1.35956839239394,5.21861903815379,3.80861952311946,0.00016679395173852,0.0675334254675792,0.664132941195199
