"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"209771_x_at","CD24",3195.35251162791,3276.16653488372,8.31877737395717,1.2760473058399e-12,1.67259777153121e-09,-4.26359874590136
"216379_x_at","CD24",2869.2831627907,3510.73981395349,7.80736623197936,1.36764943623168e-11,8.88843093310586e-09,-4.28732547341179
"202088_at","SLC39A6",2785.10288372093,4622.24158139535,4.81208165246792,6.39957936834794e-06,0.000354730913096759,-4.44198887009195
"202286_s_at","TACSTD2",2752.39290232558,2352.42545581395,7.78910363542556,1.48805014139664e-11,8.9616814326328e-09,-4.28819263210654
"211719_x_at","FN1",2377.97768372093,2392.80800232558,4.62661495095406,1.31741639376139e-05,0.000645186582465604,-4.45179185214623
"266_s_at","CD24",2370.62861860465,1587.79612093023,7.33014055599081,1.22755759673328e-10,4.88458320142994e-08,-4.3104116586666
"201650_at","KRT19",2249.53403488372,1416.56520581395,5.97733560825245,5.13795082880676e-08,6.89692519989765e-06,-4.37987574839592
"215121_x_at","IGLC1",2200.33927906977,2359.52226744186,3.57601315001543,0.00057814722192609,0.0133087340353089,-4.50512040388893
"212464_s_at","FN1",2110.84344186047,2529.43320930233,4.42901608671943,2.79669290409091e-05,0.0011984366919588,-4.4621484008849
"214677_x_at","IGLJ3",2047.07793953488,1926.5260255814,4.86633532221332,5.16713432946356e-06,0.000300997810811063,-4.4391094873443
