"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"210964_s_at","GYG2",1.19668721638298,7.35962117006803,5.07791437547691,1.13064520107702e-06,0.0125970835077996,5.10819868539523
"201539_s_at","FHL1",0.75307866438702,8.26384649146939,4.87690781965696,2.75031462938605e-06,0.0187310316089174,4.31997972440565
"203980_at","FABP4",1.49277750160745,10.6048369719048,4.75977446286693,4.56712341303072e-06,0.0187310316089174,3.87092688741429
"204953_at","SNAP91",1.09095945595745,4.83670747619048,4.72729665245917,5.24913504103326e-06,0.0187310316089174,3.74778997171184
"207092_at","LEP",1.60990067829787,5.55687910884354,4.64685716379324,7.38935940267195e-06,0.0187310316089174,3.44541820203568
"209612_s_at","ADH1B",1.38131572765957,8.71731356462585,4.63940189080241,7.62580100163972e-06,0.0187310316089174,3.41758355988249
"219689_at","SEMA3G",0.66001607680851,8.44221391836735,4.63472756679035,7.77775478864292e-06,0.0187310316089174,3.40014825070231
"212630_at","EXOC3",-0.631926751276595,8.75293012244898,-4.61629473917214,8.40597388543618e-06,0.0187310316089174,3.33151783217913
"218825_at","EGFL7",0.778132802765957,8.00402317006803,4.48885814034387,1.42995107016238e-05,0.0193114234761603,2.86251906487489
"213542_at","ZNF710",-0.691947701489362,8.70210453061224,-4.47323608480388,1.52512072701872e-05,0.0193114234761603,2.8056921999134
"211717_at","ANKRD40",-0.68065323851064,8.65537860544218,-4.46515232836121,1.57673306564236e-05,0.0193114234761603,2.77634438648247
"207175_at","ADIPOQ",1.34905792765957,8.4465036462585,4.44649942917204,1.70232287449877e-05,0.0193114234761603,2.70877621950102
"203549_s_at","LPL",0.776857828931917,9.38852969897279,4.43974516574406,1.75013118581636e-05,0.0193114234761603,2.68436153506616
"201348_at","GPX3",0.839457992658083,10.584585208517,4.43885250678365,1.75654550576784e-05,0.0193114234761603,2.68113690330292
"218954_s_at","BRF2",-1.08653880361702,7.47615414965986,-4.43663400896798,1.77258495701517e-05,0.0193114234761603,2.67312491867274
"201324_at","EMP1",0.668388949738514,10.1809224214422,4.41334097396047,1.94972681814864e-05,0.0193114234761603,2.58918392251735
"201452_at","RHEB",-0.753049918541489,7.33867795795918,-4.37548329129722,2.27450791556179e-05,0.020112535521826,2.45346259013791
"219708_at","NT5M",-0.903696876808512,6.44771733333333,-4.35977399597804,2.42402660907562e-05,0.020112535521826,2.39740210145762
"201540_at","FHL1",0.881752260774041,10.5626068813197,4.35551905160996,2.46612297510737e-05,0.020112535521826,2.38224396439928
"204154_at","CDO1",0.764735214977446,7.86160042955782,4.33441340306907,2.68552962606176e-05,0.0206350540198394,2.307220725284
"219398_at","CIDEC",0.713330784680851,9.30952570748299,4.27892724251597,3.35543407426729e-05,0.023290035152766,2.11130451577655
"219047_s_at","ZNF668",-0.819708363829786,7.38142067346939,-4.27580149262685,3.39759471082725e-05,0.023290035152766,2.10032489310428
"201325_s_at","EMP1",0.550688525798721,10.1089240782177,4.26588880340238,3.53468656000407e-05,0.023290035152766,2.06554567188822
"220736_at","SLC19A3",1.03004387468085,6.81340862585034,4.26044999960061,3.61214315347684e-05,0.023290035152766,2.04648948823734
"219140_s_at","RBP4",1.58900215042553,6.84992649659864,4.23759262943272,3.9558298806801e-05,0.023290035152766,1.96660622484676
