"sample","group"
"GSM398074","Normal"
"GSM398075","Tumor"
"GSM398076","Normal"
"GSM398077","Tumor"
"GSM398078","Normal"
"GSM398079","Tumor"
"GSM398080","Normal"
"GSM398081","Tumor"
"GSM398082","Normal"
"GSM398083","Tumor"
"GSM398084","Normal"
"GSM398085","Tumor"
"GSM398086","Normal"
"GSM398087","Tumor"
"GSM398088","Normal"
"GSM398089","Tumor"
"GSM398090","Normal"
"GSM398091","Tumor"
"GSM398092","Normal"
"GSM398093","Tumor"
"GSM398094","Normal"
"GSM398095","Tumor"
"GSM398096","Normal"
"GSM398097","Tumor"
"GSM398098","Normal"
"GSM398099","Tumor"
"GSM398100","Normal"
"GSM398101","Tumor"
"GSM398102","Normal"
"GSM398103","Tumor"
"GSM398104","Normal"
"GSM398105","Tumor"
"GSM398106","Normal"
"GSM398107","Tumor"
"GSM398108","Normal"
"GSM398109","Tumor"
"GSM398110","Normal"
"GSM398111","Tumor"
"GSM398112","Normal"
"GSM398113","Tumor"
"GSM398114","Normal"
"GSM398115","Tumor"
"GSM398116","Normal"
"GSM398117","Tumor"
"GSM398118","Normal"
"GSM398119","Tumor"
"GSM398120","Normal"
"GSM398121","Tumor"
"GSM398122","Normal"
"GSM398123","Tumor"
"GSM398124","Normal"
"GSM398125","Tumor"
"GSM398126","Normal"
"GSM398127","Tumor"
"GSM398128","Normal"
"GSM398129","Tumor"
"GSM398130","Normal"
"GSM398131","Tumor"
"GSM398132","Normal"
"GSM398133","Tumor"
"GSM398134","Normal"
"GSM398135","Tumor"
"GSM398136","Normal"
"GSM398137","Tumor"
"GSM398138","Normal"
"GSM398139","Tumor"
"GSM398140","Normal"
"GSM398141","Tumor"
"GSM398142","Normal"
"GSM398143","Tumor"
"GSM398144","Normal"
"GSM398145","Tumor"
"GSM398146","Normal"
"GSM398147","Tumor"
"GSM398148","Normal"
"GSM398149","Tumor"
"GSM398150","Normal"
"GSM398151","Tumor"
"GSM398152","Normal"
"GSM398153","Tumor"
"GSM398154","Normal"
"GSM398155","Tumor"
"GSM398156","Normal"
"GSM398157","Tumor"
"GSM398158","Normal"
"GSM398159","Tumor"
