"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3142381","FABP4",-5.6016,8.0256,-12.754077948334,1.72096812652285e-17,8.872753508527e-15,29.5800482901393
"4000538","VEGFD",-4.14,6.642,-19.3684832971309,3.62228620544316e-25,3.45493658275169e-21,46.6668645591874
"2656818","ADIPOQ",-4.1144,8.8128,-10.6710627106026,1.34086820761947e-14,2.50768646358323e-12,23.0413811370246
"4018080","CHRDL1",-3.9156,8.567,-14.3576310815429,1.49145722279751e-19,2.03221699872038e-16,34.2168948653657
"2779231","ADH1B",-3.702,6.9582,-13.2542908336686,3.77919542692114e-18,2.67007155422028e-15,31.0632407216826
"3362826","LYVE1",-3.5936,8.2124,-14.1346454269501,2.83155600972951e-19,3.60098416277335e-16,33.5924593471345
"3010503","CD36",-3.5312,8.6784,-9.90560625137537,1.77618978248314e-13,1.98143837957009e-11,20.496205614697
"3391149","CRYAB",-3.2884,9.4442,-9.98461290476998,1.35602678705247e-13,1.6240569223215e-11,20.7622274463484
"3274758","AKR1C2",-3.2284,7.2422,-9.23341037244893,1.81607319409527e-12,1.3273338027035e-10,18.2039544231302
"3132782","SFRP1",-3.1668,8.2822,-10.9653611147539,5.06128442545548e-15,1.13587131411751e-12,24.0002138602195
