"sample","group"
"GSM519272","Early"
"GSM519273","Early"
"GSM519274","Late"
"GSM519275","Late"
"GSM519276","Early"
"GSM519277","Early"
"GSM519278","Early"
"GSM519279","Late"
"GSM519280","Late"
"GSM519281","Early"
"GSM519282","Early"
"GSM519283","Early"
"GSM519284","Late"
"GSM519285","Early"
"GSM519286","Late"
"GSM519287","Early"
"GSM519288","Late"
"GSM519289","Late"
"GSM519290","Early"
"GSM519291","Late"
"GSM519292","Early"
"GSM519293","Late"
"GSM519294","Early"
"GSM519295","Early"
"GSM519296","Early"
"GSM519297","Late"
"GSM519298","Late"
"GSM519299","Early"
"GSM519300","Late"
"GSM519301","Early"
"GSM519302","Early"
"GSM519303","Early"
"GSM519304","Early"
"GSM519305","Late"
"GSM519306","Early"
"GSM519307","Early"
"GSM519308","Early"
"GSM519309","Late"
"GSM519310","Late"
"GSM519311","Early"
"GSM519312","Early"
"GSM519313","Late"
"GSM519314","Early"
"GSM519315","Early"
"GSM519316","Early"
"GSM519317","Late"
"GSM519318","Late"
"GSM519319","Early"
"GSM519320","Late"
"GSM519321","Early"
"GSM519322","Late"
"GSM519323","Late"
"GSM519324","Early"
"GSM519325","Late"
"GSM519326","Early"
"GSM519327","Early"
"GSM519328","Late"
"GSM519329","Early"
"GSM519330","Early"
"GSM519331","Early"
"GSM519332","Early"
"GSM519333","Early"
"GSM519334","Early"
"GSM519335","Early"
"GSM519336","Early"
"GSM519337","Late"
"GSM519338","Early"
"GSM519339","Early"
"GSM519340","Early"
"GSM519341","Early"
"GSM519342","Early"
"GSM519343","Early"
"GSM519344","Early"
"GSM519345","Early"
"GSM519346","Late"
"GSM519347","Late"
"GSM519348","Early"
"GSM519349","Late"
"GSM519350","Early"
"GSM519351","Early"
"GSM519352","Late"
"GSM519353","Late"
"GSM519354","Late"
"GSM519355","Late"
"GSM519356","Early"
"GSM519357","Late"
"GSM519358","Early"
"GSM519359","Late"
"GSM519360","Late"
"GSM519361","Early"
"GSM519362","Early"
"GSM519363","Early"
"GSM519364","Late"
"GSM519365","Late"
"GSM519366","Early"
"GSM519367","Early"
"GSM519368","Early"
"GSM519369","Late"
"GSM519370","Early"
"GSM519371","Late"
"GSM519372","Late"
"GSM519373","Late"
"GSM519374","Early"
"GSM519375","Early"
"GSM519376","Early"
"GSM519377","Late"
"GSM519378","Early"
"GSM519379","Early"
"GSM519380","Early"
"GSM519381","Early"
"GSM519382","Late"
"GSM519383","Early"
"GSM519384","Early"
"GSM519385","Early"
"GSM519386","Late"
"GSM519387","Early"
"GSM519388","Early"
"GSM519389","Early"
"GSM519390","Late"
"GSM519391","Early"
"GSM519392","Late"
"GSM519393","Early"
"GSM519394","Early"
"GSM519395","Early"
"GSM519396","Early"
"GSM519397","Early"
"GSM519398","Late"
"GSM519399","Early"
"GSM519400","Late"
"GSM519401","Early"
"GSM519402","Early"
"GSM519403","Early"
"GSM519404","Late"
"GSM519405","Early"
"GSM519406","Early"
"GSM519407","Early"
"GSM519408","Early"
"GSM519409","Late"
"GSM519410","Early"
"GSM519411","Early"
"GSM519412","Early"
"GSM519413","Early"
"GSM519414","Late"
"GSM519415","Early"
"GSM519416","Late"
"GSM519417","Late"
"GSM519418","Early"
"GSM519419","Late"
"GSM519420","Early"
"GSM519421","Early"
"GSM519422","Early"
"GSM519423","Early"
"GSM519424","Late"
"GSM519425","Late"
"GSM519426","Early"
"GSM519427","Late"
"GSM519428","Early"
"GSM519429","Late"
"GSM519430","Late"
"GSM519431","Late"
"GSM519432","Early"
"GSM519433","Early"
"GSM519434","Late"
"GSM519435","Early"
"GSM519436","Early"
"GSM519437","Early"
"GSM519438","Early"
"GSM519439","Late"
"GSM519440","Early"
"GSM519441","Early"
"GSM519442","Early"
"GSM519443","Early"
