"sample","group"
"GSM519117","Late"
"GSM519118","Early"
"GSM519119","Early"
"GSM519120","Early"
"GSM519121","Late"
"GSM519122","Late"
"GSM519123","Early"
"GSM519124","Early"
"GSM519125","Late"
"GSM519126","Early"
"GSM519127","Late"
"GSM519128","Early"
"GSM519129","Early"
"GSM519130","Early"
"GSM519131","Early"
"GSM519132","Early"
"GSM519133","Late"
"GSM519134","Early"
"GSM519135","Late"
"GSM519136","Early"
"GSM519137","Early"
"GSM519138","Late"
"GSM519139","Late"
"GSM519140","Early"
"GSM519141","Late"
"GSM519142","Early"
"GSM519143","Early"
"GSM519144","Late"
"GSM519145","Early"
"GSM519146","Early"
"GSM519147","Early"
"GSM519148","Early"
"GSM519149","Early"
"GSM519150","Early"
"GSM519151","Early"
"GSM519152","Early"
"GSM519153","Early"
"GSM519154","Late"
"GSM519155","Early"
"GSM519156","Early"
"GSM519157","Early"
"GSM519158","Early"
"GSM519159","Early"
"GSM519160","Late"
"GSM519161","Early"
"GSM519162","Late"
"GSM519163","Early"
"GSM519164","Early"
"GSM519165","Early"
"GSM519166","Late"
"GSM519167","Early"
"GSM519168","Late"
"GSM519169","Early"
"GSM519170","Early"
"GSM519171","Late"
"GSM519172","Early"
"GSM519173","Late"
"GSM519174","Early"
"GSM519175","Late"
"GSM519176","Early"
"GSM519177","Early"
"GSM519178","Early"
"GSM519179","Early"
"GSM519180","Early"
"GSM519181","Early"
"GSM519182","Early"
"GSM519183","Early"
"GSM519184","Early"
"GSM519185","Early"
"GSM519186","Early"
"GSM519187","Early"
"GSM519188","Late"
"GSM519189","Early"
"GSM519190","Late"
"GSM519191","Early"
"GSM519192","Early"
"GSM519193","Early"
"GSM519194","Early"
"GSM519195","Late"
"GSM519196","Late"
"GSM519197","Early"
"GSM519198","Late"
"GSM519199","Early"
"GSM519200","Late"
"GSM519201","Early"
"GSM519202","Late"
"GSM519203","Early"
"GSM519204","Late"
"GSM519205","Early"
"GSM519206","Early"
"GSM519207","Late"
"GSM519208","Early"
"GSM519209","Early"
"GSM519210","Early"
"GSM519211","Late"
"GSM519212","Late"
"GSM519213","Early"
"GSM519214","Early"
"GSM519215","Early"
"GSM519216","Early"
"GSM519217","Late"
"GSM519218","Early"
"GSM519219","Early"
"GSM519220","Early"
"GSM519221","Late"
"GSM519222","Early"
"GSM519223","Late"
"GSM519224","Early"
"GSM519225","Late"
"GSM519226","Early"
"GSM519227","Early"
"GSM519228","Early"
"GSM519229","Early"
"GSM519230","Early"
"GSM519231","Late"
"GSM519232","Early"
"GSM519233","Early"
"GSM519234","Early"
"GSM519235","Late"
"GSM519236","Late"
"GSM519237","Late"
"GSM519238","Late"
"GSM519239","Early"
"GSM519240","Early"
"GSM519241","Early"
"GSM519242","Early"
"GSM519243","Early"
"GSM519244","Late"
"GSM519245","Early"
"GSM519246","Early"
"GSM519247","Early"
"GSM519248","Late"
"GSM519249","Late"
"GSM519250","Early"
"GSM519251","Late"
"GSM519252","Early"
"GSM519253","Late"
"GSM519254","Early"
"GSM519255","Late"
"GSM519256","Early"
"GSM519257","Early"
"GSM519258","Early"
"GSM519259","Late"
"GSM519260","Late"
"GSM519261","Early"
"GSM519262","Early"
"GSM519263","Early"
"GSM519264","Early"
"GSM519265","Late"
"GSM519266","Late"
"GSM519267","Early"
"GSM519268","Early"
"GSM519269","Late"
"GSM519270","Late"
"GSM519271","Early"
