"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"218954_s_at","BRF2",-1.08653880361702,7.47615414965986,-4.43663400896798,1.77258495701517e-05,0.0193114234761603,2.67312491867274
"207232_s_at","DZIP3",-0.946765855744681,6.13683880952381,-4.05402432952102,8.10661658058839e-05,0.0290716365058147,1.33711855084595
"210415_s_at","ODF2",-0.924019700638298,6.68221431972789,-4.01623255140682,9.37092475955081e-05,0.0311660173756822,1.21022535143427
"219708_at","NT5M",-0.903696876808512,6.44771733333333,-4.35977399597804,2.42402660907562e-05,0.020112535521826,2.39740210145762
"218141_at","UBE2O",-0.843902942765959,7.18275942176871,-3.94446086738602,0.000123074456250356,0.0355986971047099,0.971821621569559
"213667_at","TMEM265",-0.821786830851065,7.48203897959184,-3.7587812905889,0.000245100778126495,0.0451370300743197,0.371024824879647
"219047_s_at","ZNF668",-0.819708363829786,7.38142067346939,-4.27580149262685,3.39759471082725e-05,0.023290035152766,2.10032489310428
"201452_at","RHEB",-0.753049918541489,7.33867795795918,-4.37548329129722,2.27450791556179e-05,0.020112535521826,2.45346259013791
"213542_at","ZNF710",-0.691947701489362,8.70210453061224,-4.47323608480388,1.52512072701872e-05,0.0193114234761603,2.8056921999134
"211717_at","ANKRD40",-0.68065323851064,8.65537860544218,-4.46515232836121,1.57673306564236e-05,0.0193114234761603,2.77634438648247
